temp,humidity,sealevelpressure,cloudcover,precipprob
30.5,81.3,1002.8,61.3,1
29.0,87.7,1001.8,77.7,1
29.7,84.6,998.3,65.3,1
28.5,89.3,998.5,91.0,1
26.6,92.3,1003.0,94.9,1
28.1,89.6,1005.4,84.4,1
29.4,87.9,1004.3,77.9,1
29.5,87.2,1003.6,74.7,1
28.1,91.1,1005.2,89.1,1
28.8,88.6,1006.6,88.0,1
26.3,94.5,1004.4,99.1,1
27.3,90.9,1003.7,94.8,1
27.7,91.4,1003.4,89.1,1
29.2,88.2,1005.7,71.8,1
29.8,88.4,1004.5,66.8,1
29.1,88.7,1003.8,60.5,1
29.6,85.6,1004.3,72.8,1
27.5,89.7,1004.8,85.9,1
26.5,92.3,1006.5,96.9,1
28.7,88.3,1008.2,77.7,1
30.2,82.6,1008.2,45.7,1
30.6,85.9,1005.6,69.6,1
30.4,83.1,1005.6,68.4,1
29.9,86.7,1007.3,63.6,1
29.5,86.0,1006.5,64.2,1
29.6,86.1,1004.9,60.8,1
30.9,80.4,1004.0,49.0,1
30.7,83.5,1004.3,55.5,1
30.3,83.9,1004.9,69.8,1
30.5,86.0,1003.2,68.6,1
30.1,84.4,1003.2,84.9,1
30.6,83.0,1002.1,61.4,1
29.4,85.7,1003.8,68.4,1
27.9,90.3,1004.4,86.0,1
26.7,93.7,1004.6,96.9,1
26.6,91.9,1008.6,96.8,1
28.2,90.9,1009.5,83.5,1
28.8,77.3,1009.7,44.7,1
28.2,81.8,1011.9,50.6,1
28.2,81.3,1010.9,49.8,1
28.3,83.4,1011.8,71.2,1
25.3,81.2,1011.9,81.8,1
23.9,84.6,1011.3,91.3,1
22.7,88.1,1010.1,93.1,1
22.2,86.2,1014.1,88.0,1
21.7,90.4,1013.7,99.5,1
22.2,92.2,1011.2,100.0,1
23.2,86.5,1015.1,44.7,1
23.0,84.6,1016.9,78.5,1
22.2,82.6,1014.5,61.9,1
22.7,79.9,1014.9,67.4,1
24.5,78.9,1014.5,38.6,1
29.7,75.5,1008.3,55.7,1
31.2,70.7,1006.2,61.6,1
31.9,71.5,1004.5,51.9,1
29.9,68.4,1004.2,66.2,1
29.6,67.7,1003.4,61.6,1
29.0,74.6,1004.0,61.3,1
27.9,78.3,1005.4,75.6,1
29.8,73.0,1005.6,64.9,1
31.5,66.9,1005.0,47.9,1
27.8,84.0,1004.8,81.6,1
29.1,84.2,1004.6,86.1,1
28.6,85.6,1003.9,84.8,1
30.3,79.3,1002.9,63.7,1
30.6,76.1,1000.4,66.2,1
30.4,77.9,1000.9,65.4,1
31.1,78.1,1002.6,74.7,1
31.9,73.3,1001.8,58.0,1
30.9,79.6,1003.1,84.5,1
30.7,71.9,998.2,69.0,1
31.0,73.2,1002.2,48.4,1
31.0,72.2,1003.1,52.6,1
30.1,72.7,1002.1,52.4,1
32.4,69.8,999.1,50.3,1
29.7,77.4,999.9,89.3,1
31.0,78.9,999.6,71.6,1
31.2,76.6,1000.1,79.3,1
32.1,76.4,1000.8,64.0,1
31.4,77.1,999.1,74.3,1
30.0,75.0,1000.0,74.8,1
30.5,81.3,1000.0,73.6,1
30.5,80.2,1002.0,82.8,1
30.2,78.1,1003.4,81.4,1
29.3,83.0,1003.6,88.8,1
29.8,79.8,1002.5,89.8,1
30.2,77.5,999.5,73.6,1
29.4,82.2,1002.4,80.4,1
30.0,79.7,1003.1,59.3,1
29.0,83.9,1001.6,68.5,1
27.9,88.2,1000.7,71.7,1
29.0,85.2,1002.7,72.0,1
30.9,74.4,1002.3,62.0,1
30.5,78.8,1000.6,70.8,1
29.5,84.1,1000.0,85.7,1
29.5,84.5,999.2,82.6,1
29.4,83.8,997.9,83.0,1
28.7,84.8,998.6,72.3,1
30.4,79.5,998.5,58.0,1
29.8,81.2,998.7,71.0,1
29.1,84.6,1001.6,70.7,1
30.4,78.7,1003.1,57.1,1
30.1,81.0,1001.3,60.9,1
29.7,81.5,999.4,60.2,1
28.8,85.7,998.7,64.8,1
29.4,82.2,999.0,71.9,1
29.0,84.2,997.6,67.2,1
29.2,84.6,996.1,73.4,1
29.3,84.0,996.6,71.8,1
29.4,82.4,998.6,64.7,1
29.3,84.4,999.8,61.2,1
29.5,83.1,1001.8,67.7,1
29.7,80.4,1002.4,57.0,1
30.1,80.0,1000.7,68.9,1
30.2,79.1,1000.8,69.9,1
29.9,81.9,1001.3,67.5,1
29.6,82.9,1002.1,72.7,1
28.3,86.2,1002.6,79.1,1
27.0,88.1,1004.0,86.1,1
27.6,86.7,1006.6,83.3,1
29.1,80.3,1007.6,77.7,1
28.8,84.2,1006.7,69.8,1
29.8,80.2,1006.6,71.0,1
30.5,79.7,1005.4,56.5,1
30.0,81.9,1001.7,73.7,1
29.2,85.0,1001.6,90.4,1
29.1,85.2,1002.5,89.4,1
29.6,80.9,1002.6,76.8,1
28.9,84.9,998.7,72.3,1
29.3,81.8,997.7,65.0,1
28.7,83.1,996.7,71.1,1
28.0,84.8,995.6,83.5,1
27.4,87.8,995.5,94.2,1
27.2,89.0,999.1,93.8,1
29.3,81.2,999.6,74.6,1
29.4,80.9,997.1,74.8,1
27.3,88.0,998.3,95.0,1
28.1,86.2,1004.5,78.6,1
30.6,75.0,1004.7,50.1,1
31.4,76.4,999.0,68.3,1
27.6,86.9,996.5,95.2,1
27.6,86.6,999.5,86.1,1
29.7,82.2,1000.7,57.0,1
29.8,79.7,1000.5,59.1,1
28.5,85.9,1002.4,90.5,1
27.7,86.7,1003.6,80.9,1
29.4,77.6,1003.6,57.5,1
30.0,81.1,1002.2,83.1,1
29.5,80.3,1004.4,70.8,1
30.7,74.9,1007.5,55.2,1
31.3,74.0,1006.1,48.8,1
31.1,73.7,1006.4,53.3,1
30.3,75.4,1004.2,71.6,1
29.9,78.8,1003.7,68.4,1
29.9,80.8,1004.0,67.2,1
29.0,82.7,1005.2,82.9,1
31.1,73.5,1006.6,61.0,1
30.0,78.4,1006.0,73.9,1
29.0,81.9,1004.8,73.6,1
27.5,85.6,1003.4,90.4,1
26.0,91.1,1003.1,98.3,1
26.6,89.8,1005.0,97.2,1
27.9,86.5,1006.4,92.0,1
28.5,86.4,1005.3,91.0,1
28.0,83.2,1002.5,87.2,1
28.0,86.3,1002.7,78.2,1
28.5,82.9,1003.0,63.5,1
27.8,87.0,1002.3,78.0,1
29.1,82.3,1004.4,58.6,1
29.7,79.0,1005.0,59.1,1
30.1,75.6,1004.9,53.9,1
30.0,75.6,1005.4,62.4,1
29.0,81.5,1004.2,79.1,1
30.0,77.3,1002.6,74.4,1
28.0,84.2,1002.3,81.6,1
28.2,84.1,1004.0,79.9,1
29.1,79.8,1007.3,86.9,1
28.3,82.9,1008.7,63.3,1
28.2,80.9,1009.6,60.3,1
29.2,78.9,1009.6,53.8,1
30.1,74.0,1010.7,50.4,1
29.9,75.7,1011.2,46.0,1
29.0,78.8,1009.6,48.5,1
27.9,80.6,1009.5,64.0,1
28.0,79.7,1009.5,61.8,1
27.8,83.3,1009.4,60.9,1
27.6,74.3,1010.4,61.4,1
26.9,78.1,1009.9,74.7,1
23.3,88.5,1003.4,98.8,1
24.9,80.1,1013.7,33.4,1
25.2,78.9,1013.5,58.2,1
28.1,74.2,1010.8,61.3,1
24.4,85.3,1011.8,82.1,1
25.5,83.5,1010.5,82.6,1
22.8,87.2,1009.0,87.1,1
24.1,80.3,1007.8,60.8,1
24.4,80.3,1008.4,53.7,1
25.9,75.7,1007.9,44.6,1
29.1,72.9,1008.0,60.5,1
28.0,78.3,1007.6,71.8,1
29.5,70.4,1008.2,37.3,1
30.1,73.4,1009.3,60.2,1
29.2,73.2,1008.0,58.0,1
26.4,76.2,1008.5,81.2,1
24.6,82.2,1008.4,77.1,1
27.1,67.2,1006.6,37.0,1
26.4,76.3,1010.1,51.1,1
29.1,74.8,1007.8,47.7,1
29.4,72.7,1008.3,55.5,1
29.6,72.2,1007.3,46.1,1
26.7,79.7,1006.7,66.1,1
29.1,77.0,1009.0,73.7,1
30.0,72.3,1005.5,60.0,1
29.3,66.8,1003.0,41.1,1
30.3,74.5,1004.2,49.6,1
28.0,80.1,1007.8,64.6,1
30.4,73.7,1005.6,57.2,1
30.9,74.0,1006.0,64.5,1
29.8,75.6,1005.2,56.9,1
27.5,78.5,1006.4,75.1,1
28.7,82.5,1005.4,49.8,1
29.5,82.4,999.3,85.4,1
31.5,76.7,997.6,74.9,1
30.2,77.3,998.1,77.7,1
33.5,75.8,999.3,62.6,1
32.0,78.3,1001.4,71.0,1
28.9,87.4,1002.1,85.2,1
31.4,80.3,1001.5,66.3,1
31.4,80.3,1001.9,75.3,1
30.1,83.8,1002.3,76.6,1
29.9,82.6,1001.0,74.9,1
29.2,85.4,999.7,86.0,1
28.5,90.4,999.6,81.9,1
27.7,91.1,1000.6,87.7,1
27.6,90.5,1001.0,91.4,1
26.7,92.8,1003.5,94.6,1
28.4,90.2,1003.7,87.8,1
30.0,84.6,1002.8,81.4,1
30.3,83.3,1002.9,80.8,1
31.1,82.7,1002.3,64.5,1
30.3,83.7,999.9,64.9,1
28.7,89.2,1001.4,80.4,1
29.3,87.5,1003.4,78.1,1
29.9,83.7,1004.3,66.9,1
30.5,81.2,1003.3,81.3,1
30.1,81.2,1003.6,72.0,1
30.5,78.6,1003.3,62.6,1
30.5,82.1,1002.8,73.4,1
28.9,86.3,1001.0,80.9,1
28.8,87.6,999.8,82.1,1
28.6,89.6,999.6,75.5,1
29.4,86.2,999.1,61.8,1
29.7,84.8,998.3,64.1,1
30.3,81.4,998.4,60.5,1
29.1,88.8,1001.5,80.2,1
28.7,89.8,1004.6,71.0,1
29.7,84.2,1004.8,75.8,1
29.4,85.9,1003.1,62.0,1
28.8,88.5,1002.6,64.0,1
28.6,88.9,1002.7,72.0,1
29.8,84.0,1001.9,64.4,1
29.4,87.4,999.2,73.6,1
29.3,89.4,998.2,72.3,1
30.9,83.1,997.4,64.8,1
30.9,82.9,996.7,84.5,1
28.9,87.3,992.8,89.8,1
28.1,87.5,993.1,93.2,1
29.7,83.4,998.2,74.5,1
29.7,80.9,1003.0,88.8,1
28.2,88.6,1000.8,93.6,1
27.9,91.1,998.4,97.1,1
28.2,87.2,1000.4,93.7,1
29.8,82.5,1003.3,87.0,1
29.4,83.2,1004.6,87.9,1
29.5,82.7,1003.9,87.8,1
28.6,87.9,1002.7,96.0,1
28.4,87.5,1003.4,92.7,1
29.9,84.5,1003.8,73.3,1
29.3,86.2,1003.1,71.9,1
28.7,90.3,1002.2,87.3,1
28.9,87.8,1001.3,80.2,1
29.4,85.9,1003.3,73.1,1
29.2,87.6,1002.3,86.5,1
29.0,84.3,1000.4,90.9,1
26.7,93.3,1001.1,98.4,1
28.3,88.3,1001.8,93.9,1
30.6,77.8,1002.8,63.3,1
30.9,81.6,1004.8,69.9,1
29.7,87.2,1003.1,85.2,1
27.9,90.4,1000.8,88.9,1
28.7,88.2,1001.5,81.9,1
29.5,84.7,1002.2,74.3,1
27.8,91.6,1002.0,87.8,1
27.6,93.5,1003.9,85.4,1
29.6,84.8,1004.2,60.1,1
29.2,86.3,1001.6,75.0,1
29.0,84.9,1000.4,76.7,1
27.6,91.6,1001.0,92.1,1
28.2,90.4,1004.2,84.3,1
30.4,83.9,1004.5,61.5,1
29.5,85.3,1002.8,75.1,1
28.2,86.3,1004.0,77.5,1
27.6,89.3,1003.5,91.5,1
27.5,93.0,1005.0,92.1,1
27.7,92.2,1006.0,84.5,1
27.9,92.5,1006.5,85.8,1
27.9,90.5,1005.5,86.5,1
28.8,86.5,1005.6,80.9,1
31.2,79.6,1004.6,49.9,1
28.8,87.0,1003.9,82.2,1
27.1,91.5,1001.8,93.7,1
28.0,89.1,1002.1,81.6,1
27.4,92.3,1003.6,90.3,1
26.9,92.1,1004.7,84.8,1
26.9,93.3,1004.1,98.7,1
28.4,89.3,1003.1,95.4,1
29.2,84.3,1004.2,80.2,1
26.5,84.7,1011.8,73.6,1
26.6,84.0,1009.9,77.2,1
28.2,71.5,1014.3,30.1,1
28.5,71.7,1011.2,47.1,1
24.5,78.4,1014.9,80.5,1
24.1,69.6,1013.2,91.2,1
23.1,76.7,1014.5,91.7,1
22.3,82.7,1015.2,87.3,1
21.6,89.3,1015.7,90.0,1
22.7,81.2,1014.9,52.8,1
23.8,74.1,1016.9,42.2,1
26.8,68.5,1009.4,45.1,1
25.0,82.7,1009.6,66.4,1
23.8,71.1,1012.8,48.9,1
23.7,64.7,1014.6,45.7,1
28.9,73.4,1011.6,54.6,1
27.2,80.1,1013.2,68.9,1
26.8,80.3,1012.0,65.9,1
27.7,64.5,1012.3,77.3,1
21.3,84.8,1012.9,67.9,1
28.6,75.7,1010.6,56.7,1
27.3,70.5,1011.4,46.9,1
30.0,77.2,1009.7,61.1,1
29.9,78.9,1008.3,62.7,1
30.6,78.4,1009.3,54.8,1
30.5,74.6,1009.0,31.4,1
28.5,76.9,1007.4,73.5,1
33.7,64.1,1000.6,37.3,1
31.0,77.4,1004.0,74.4,1
28.2,78.0,1008.6,72.6,1
26.9,79.4,1009.2,67.5,1
26.5,85.6,1008.5,80.0,1
27.7,84.1,1008.8,73.6,1
31.3,74.5,1008.3,47.0,1
32.5,69.3,1004.0,73.6,1
29.1,84.3,1003.6,64.9,1
29.8,83.2,1004.3,49.7,1
31.1,76.0,1002.7,44.6,1
28.5,86.8,993.2,92.4,1
26.9,89.4,1003.2,84.4,1
31.7,77.8,1003.4,60.8,1
32.1,78.6,1003.3,70.7,1
32.3,78.5,1000.7,58.0,1
32.8,77.5,998.8,51.9,1
32.5,82.6,999.1,82.4,1
29.5,86.4,999.2,75.5,1
29.0,87.4,1000.6,94.8,1
30.4,82.5,1000.2,65.9,1
30.6,82.7,1000.8,50.5,1
29.7,86.4,1001.4,66.8,1
29.2,91.0,999.2,79.2,1
29.1,93.2,998.8,83.4,1
29.9,89.3,999.3,95.8,1
30.1,86.0,999.1,95.6,1
28.2,91.9,998.4,98.2,1
27.6,92.2,999.7,95.7,1
28.8,88.9,1001.4,89.4,1
29.3,89.1,1000.6,84.4,1
29.7,86.2,1002.2,63.8,1
30.1,81.5,1002.8,64.5,1
30.9,78.0,1003.5,63.3,1
31.9,77.5,1000.9,67.4,1
27.7,88.7,999.5,93.6,1
30.3,82.3,997.6,61.2,1
30.2,83.7,997.4,60.7,1
28.9,90.3,999.1,74.2,1
29.8,86.5,1000.2,77.2,1
30.3,84.6,1000.3,69.3,1
30.9,82.5,998.7,64.1,1
29.8,86.8,996.5,72.7,1
30.3,83.8,997.1,70.2,1
29.4,89.4,997.8,80.0,1
28.8,91.5,998.0,84.5,1
29.2,89.9,996.4,85.7,1
29.9,88.3,992.0,91.8,1
29.8,87.2,991.3,76.5,1
29.6,88.4,995.2,82.2,1
29.4,89.3,997.0,82.9,1
30.0,86.0,997.1,74.8,1
29.9,87.3,999.6,77.9,1
29.5,87.8,999.5,88.3,1
27.9,94.6,997.4,99.7,1
28.1,91.1,998.3,98.6,1
28.0,93.5,1001.9,88.9,1
29.2,88.1,1004.1,77.3,1
29.3,88.3,1003.3,84.4,1
28.9,90.8,1001.4,78.8,1
29.1,86.8,1001.5,70.6,1
29.2,86.8,1003.4,79.9,1
30.0,83.6,1004.2,82.6,1
29.1,90.3,1003.6,83.6,1
29.3,89.4,1002.9,83.4,1
30.9,81.7,1002.9,65.8,1
29.8,88.8,1003.6,85.3,1
29.7,88.0,1003.3,87.6,1
30.1,84.6,1002.2,76.7,1
29.2,88.0,1001.6,80.5,1
30.5,80.2,1002.4,65.6,1
27.4,90.9,1002.1,87.0,1
28.0,90.3,1001.8,87.5,1
28.3,90.1,1003.4,83.1,1
29.6,87.3,1004.3,81.4,1
29.1,88.6,1003.4,93.3,1
27.3,95.0,1004.0,92.4,1
27.4,93.0,1004.3,95.1,1
27.9,91.1,1002.4,90.5,1
27.3,93.1,1001.4,95.3,1
27.4,93.2,1004.5,84.4,1
30.2,80.3,1003.6,49.1,1
30.4,79.9,1003.8,50.6,1
30.3,80.3,1003.8,52.5,1
29.9,82.6,1004.9,59.3,1
30.6,79.3,1005.5,47.3,1
30.3,81.7,1005.6,61.7,1
30.4,81.3,1003.4,64.1,1
31.1,77.4,1002.3,50.2,1
31.0,78.8,1002.4,60.2,1
29.9,83.6,1001.8,58.2,1
29.5,86.1,999.8,61.3,1
30.2,83.9,1000.1,62.4,1
30.5,84.5,1001.4,84.5,1
30.8,85.0,1001.4,92.3,1
29.0,87.5,998.8,93.9,1
26.1,95.1,992.5,100.0,1
26.1,94.9,992.1,100.0,1
27.3,92.0,999.5,95.5,1
30.4,78.0,1004.1,68.5,1
31.5,76.8,1002.7,52.7,1
31.4,81.8,1002.9,70.4,1
28.8,88.3,1003.4,83.6,1
27.0,94.3,1004.4,96.9,1
26.0,95.5,1006.8,99.4,1
28.3,88.6,1008.3,76.1,1
29.6,84.7,1008.5,62.3,1
29.5,83.7,1003.5,92.1,1
28.9,86.8,1002.6,92.5,1
28.1,89.3,1004.5,96.5,1
27.3,89.5,1006.9,94.1,1
27.2,92.4,1009.7,82.3,1
29.0,84.9,1012.0,63.7,1
28.8,86.5,1011.7,65.7,1
30.4,78.6,1008.5,46.3,1
30.2,76.1,1010.5,50.8,1
28.3,85.3,1010.0,70.6,1
28.5,85.2,1009.9,72.6,1
28.5,86.6,1009.4,70.4,1
27.5,87.9,1010.7,64.4,1
26.7,86.0,1008.9,78.4,1
25.5,90.0,1006.3,96.7,1
25.4,94.1,1005.3,100.0,1
28.2,84.2,1006.9,73.1,1
28.5,82.5,1008.1,42.7,1
29.3,80.9,1009.7,46.1,1
27.7,74.3,1012.6,42.1,1
24.2,68.1,1013.5,67.4,1
22.8,69.7,1011.9,76.2,1
18.5,66.1,1015.6,0.0,0
19.0,65.3,1014.9,0.0,0
19.2,69.2,1013.6,1.4,0
21.0,68.8,1014.0,2.2,0
21.9,68.7,1014.1,0.9,0
22.7,69.1,1012.0,0.1,0
24.6,66.1,1011.0,12.1,0
23.8,67.6,1011.2,23.0,0
23.7,66.6,1011.4,12.4,0
24.7,66.9,1011.1,0.2,0
23.8,73.4,1012.5,16.2,0
21.5,74.4,1013.3,2.3,0
19.1,73.2,1013.8,22.0,0
19.4,71.0,1013.6,14.4,0
18.5,72.0,1012.1,0.4,0
17.6,78.2,1011.4,0.1,0
17.6,77.5,1014.6,1.4,0
18.3,78.7,1014.1,0.0,0
19.6,81.3,1011.7,11.2,0
22.0,83.1,1010.8,33.1,0
20.6,65.1,1012.1,2.7,0
19.7,66.4,1013.3,0.0,0
17.7,79.1,1012.8,16.7,0
18.8,80.0,1013.3,22.0,0
20.7,77.6,1014.2,42.1,0
18.2,81.9,1014.4,13.3,0
17.8,70.1,1014.8,0.0,0
17.4,68.5,1015.6,2.2,0
18.7,69.2,1014.6,25.4,0
18.4,65.7,1014.4,25.5,0
17.0,66.6,1016.2,1.1,0
17.1,63.1,1017.4,0.0,0
18.1,59.4,1017.0,0.0,0
18.3,61.5,1015.8,0.0,0
19.8,60.0,1015.4,0.0,0
21.2,59.8,1014.0,0.0,0
21.3,60.9,1013.4,6.0,0
19.9,62.1,1015.0,0.0,0
20.5,59.3,1014.0,0.0,0
21.2,61.7,1012.3,1.0,0
22.2,66.4,1012.9,14.3,0
23.2,61.6,1013.9,45.9,0
22.8,70.9,1013.8,20.4,0
24.1,73.6,1012.7,6.7,0
24.2,70.8,1011.5,20.6,0
24.5,70.1,1011.5,0.9,0
22.7,75.2,1012.9,44.9,0
23.6,63.6,1014.2,23.9,0
24.4,64.2,1015.6,48.0,0
23.7,68.1,1016.7,64.8,0
24.0,58.3,1015.6,11.4,0
24.2,60.7,1013.6,0.0,0
25.5,59.8,1011.4,0.0,0
26.1,66.9,1009.6,7.1,0
27.3,53.9,1008.4,0.2,0
27.7,61.3,1006.4,4.5,0
28.3,49.6,1006.5,4.6,0
28.9,57.4,1007.7,17.8,0
28.1,66.6,1010.7,27.6,0
27.7,73.2,1011.3,20.4,0
26.8,53.5,1011.0,12.5,0
26.7,56.7,1011.0,0.2,0
27.5,71.9,1009.7,15.9,0
28.4,57.3,1009.2,5.3,0
27.4,65.8,1010.8,4.3,0
27.8,72.5,1011.6,27.3,0
27.2,77.6,1010.9,32.9,0
26.9,81.9,1011.1,57.2,0
27.5,81.8,1012.3,48.4,0
27.6,79.4,1013.8,33.7,0
25.9,73.2,1013.6,51.3,0
25.7,62.7,1011.4,9.6,0
28.2,56.9,1010.1,18.8,0
28.7,55.8,1009.7,4.9,0
29.4,48.2,1009.2,9.5,0
29.2,49.7,1009.1,23.7,0
29.6,45.8,1008.3,37.0,0
30.2,50.1,1006.6,33.2,0
30.3,59.3,1007.1,38.6,0
30.7,57.6,1009.5,20.9,0
30.7,56.0,1010.3,16.7,0
30.7,57.3,1009.0,31.6,0
30.0,48.9,1008.0,17.4,0
30.0,66.3,1006.4,23.3,0
29.9,75.5,1004.2,21.0,0
31.3,74.4,999.4,29.1,0
32.3,61.7,997.7,10.7,0
31.2,65.6,1000.9,10.0,0
30.4,68.5,1004.5,28.9,0
30.6,70.3,1006.4,40.3,0
29.8,65.2,1008.6,14.2,0
29.3,73.5,1008.7,26.9,0
29.6,77.1,1007.0,59.0,0
30.0,73.9,1008.1,63.2,0
30.5,73.5,1009.4,54.4,0
31.0,62.4,1010.2,35.5,0
31.3,63.0,1010.2,51.1,0
31.2,67.6,1009.0,31.5,0
31.4,69.2,1007.7,32.5,0
31.1,70.0,1006.6,52.9,0
30.7,67.3,1006.7,67.1,0
29.4,70.6,1008.5,50.7,0
31.4,55.3,1006.1,20.1,0
31.6,71.6,1006.0,29.9,0
27.7,78.4,1008.5,70.9,0
30.5,58.4,1008.1,53.0,0
32.3,52.0,1006.5,27.3,0
33.1,54.4,1005.9,20.9,0
32.7,59.2,1005.3,23.3,0
32.1,70.5,1006.1,28.4,0
31.4,74.6,1007.9,30.9,0
31.1,64.5,1008.3,22.6,0
31.0,60.4,1007.5,34.0,0
30.9,54.4,1007.7,28.5,0
30.0,69.7,1008.5,41.3,0
28.4,81.7,1005.9,56.9,0
30.1,75.5,1003.0,33.7,0
31.9,74.7,1004.3,37.3,0
31.8,77.0,1005.4,44.6,0
32.5,74.6,1005.2,33.5,0
32.6,74.6,1004.3,38.8,0
32.8,70.4,1004.0,44.2,0
32.9,73.3,1001.7,44.8,0
30.7,82.9,1003.6,58.5,0
30.7,81.5,1004.9,45.2,0
31.1,84.2,1003.2,62.2,0
29.4,78.5,1004.5,70.4,0
31.6,76.1,1005.5,51.0,0
32.2,72.3,1005.1,50.5,0
31.2,84.8,1001.5,48.7,0
31.4,81.8,1002.5,69.7,0
31.6,77.1,1004.7,62.6,0
31.5,78.3,1002.0,67.8,0
30.7,82.6,999.2,81.3,0
31.0,82.6,999.6,70.9,0
30.8,84.5,1004.2,67.5,0
31.8,82.3,1001.2,73.1,0
29.9,89.6,1002.2,88.8,0
31.8,77.8,1001.4,82.7,0
31.2,77.5,1006.1,52.7,0
30.8,80.9,1007.0,66.0,0
30.5,80.2,1006.0,60.8,0
30.6,81.3,1007.3,46.5,0
31.0,76.7,1004.0,38.8,0
30.8,78.6,1003.3,39.9,0
29.5,74.1,1010.3,35.5,0
28.7,76.2,1011.7,46.2,0
28.5,79.6,1010.2,45.0,0
28.5,83.4,1011.0,54.9,0
28.4,75.9,1012.7,31.0,0
27.7,68.0,1013.0,19.0,0
26.8,66.1,1012.8,20.8,0
26.4,67.3,1013.2,19.7,0
26.4,67.6,1013.5,41.6,0
26.7,66.7,1012.7,30.9,0
26.4,67.9,1012.2,22.0,0
25.3,69.6,1011.5,10.7,0
24.9,65.8,1010.0,3.1,0
25.1,64.0,1009.9,3.4,0
